Satellite 1,Satellite 2,Minimum Distance (km),Time,Threshold (km),Risk Flag
ISS (ZARYA),HUBBLE SPACE TELESCOPE,3299.205,2026-08-07T20:05:48.339345+00:00,5.0,CLEAR
ISS (ZARYA),NOAA 15,8933.525,2026-08-07T20:07:48.339345+00:00,5.0,CLEAR
